TB3MS,T10Y3MM,T10Y2YM,FEDFUNDS,BAA10YM,AAA10YM
5.77,-0.7,-0.11,6.4,2.78,1.97
5.15,-0.13,0.4,5.98,2.77,1.99
4.88,0.09,0.44,5.49,2.77,2
4.42,0.35,0.55,5.31,2.95,2.09
3.87,1.17,0.91,4.8,2.93,2.06
3.62,1.69,1.13,4.21,2.68,1.9
3.49,1.71,1.2,3.97,2.69,1.9
3.51,1.65,1.2,3.77,2.73,1.89
3.36,1.53,1.21,3.65,2.88,2.05
2.64,2.04,1.61,3.07,3.3,2.44
2.16,2.37,1.84,2.49,3.34,2.46
1.87,2.74,1.87,2.09,3.16,2.32
1.69,3.37,1.98,1.82,2.96,1.68
1.65,3.36,2.01,1.73,2.83,1.51
1.73,3.15,1.89,1.74,2.98,1.6
1.79,3.45,1.72,1.73,2.83,1.53
1.72,3.46,1.79,1.75,2.82,1.55
1.73,3.4,1.9,1.75,2.93,1.59
1.7,3.2,1.94,1.75,3.02,1.7
1.68,2.94,2.09,1.73,3.25,1.88
1.62,2.61,2.13,1.74,3.32,2.11
1.63,2.21,1.87,1.75,3.53,2.28
1.58,2.33,2.03,1.75,3.79,2.38
1.23,2.8,2.13,1.34,3.57,2.26
1.19,2.82,2.19,1.24,3.42,2.18
1.17,2.86,2.31,1.24,3.3,2.12
1.17,2.71,2.27,1.26,3.16,2.05
1.13,2.66,2.24,1.25,3.14,2.08
1.13,2.81,2.34,1.26,2.89,1.78
1.07,2.48,2.15,1.26,2.81,1.65
0.92,2.39,2.1,1.22,2.86,1.64
0.9,3.06,2.51,1.01,2.64,1.51
0.95,3.48,2.59,1.03,2.56,1.43
0.94,3.31,2.56,1.01,2.52,1.45
0.92,3.35,2.54,1.01,2.44,1.41
0.93,3.35,2.37,1,2.36,1.35
0.9,3.36,2.36,0.98,2.33,1.35
0.88,3.25,2.39,1,2.29,1.39
0.93,3.14,2.34,1.01,2.19,1.42
0.94,2.88,2.25,1,2.28,1.5
0.94,3.39,2.28,1,2.11,1.38
1.02,3.68,2.19,1,2.03,1.32
1.27,3.44,1.97,1.03,2.05,1.28
1.33,3.14,1.86,1.26,2.12,1.32
1.48,2.78,1.77,1.43,2.18,1.37
1.65,2.45,1.6,1.61,2.14,1.33
1.76,2.31,1.52,1.76,2.11,1.37
2.07,2.08,1.34,1.93,2.01,1.33
2.19,2.01,1.22,2.16,1.92,1.24
2.33,1.85,1,2.28,1.8,1.14
2.54,1.59,0.79,2.5,1.65,1.03
2.74,1.7,0.77,2.63,1.56,0.9
2.78,1.5,0.69,2.79,1.71,0.99
2.84,1.24,0.5,3,1.87,1.01
2.97,0.96,0.36,3.04,1.86,0.96
3.22,0.89,0.31,3.26,1.77,0.88
3.44,0.74,0.22,3.5,1.7,0.83
3.42,0.71,0.25,3.62,1.83,0.93
3.71,0.67,0.19,3.78,1.84,0.89
3.88,0.57,0.12,4,1.85,0.88
3.89,0.5,0.07,4.16,1.85,0.9
4.24,0.08,0.02,4.29,1.82,0.87
4.43,0.03,-0.1,4.49,1.7,0.78
4.51,0.09,-0.01,4.59,1.69,0.81
4.6,0.27,0.1,4.79,1.69,0.85
4.72,0.27,0.14,4.94,1.64,0.84
4.79,0.19,-0.01,4.99,1.67,0.78
4.95,0.01,-0.03,5.24,1.67,0.76
4.96,-0.21,-0.02,5.25,1.71,0.8
4.81,-0.21,-0.05,5.25,1.71,0.79
4.92,-0.32,-0.07,5.25,1.69,0.78
4.94,-0.47,-0.14,5.25,1.6,0.73
4.85,-0.41,-0.11,5.24,1.66,0.76
4.98,-0.35,-0.12,5.25,1.58,0.64
5.03,-0.44,-0.13,5.26,1.56,0.67
4.94,-0.52,-0.01,5.26,1.71,0.74
4.87,-0.32,0.02,5.25,1.7,0.78
4.73,-0.12,-0.02,5.25,1.64,0.72
4.61,0.36,0.12,5.25,1.6,0.69
4.82,0.04,0.18,5.26,1.65,0.73
4.2,0.35,0.36,5.02,1.98,1.12
3.89,0.53,0.51,4.94,2.07,1.22
3.9,0.53,0.56,4.76,1.95,1.13
3.27,0.8,0.81,4.49,2.25,1.29
3,1.03,0.98,4.24,2.55,1.39
2.75,0.92,1.26,3.94,2.8,1.59
2.12,1.57,1.77,2.98,3.08,1.79
1.26,2.23,1.89,2.61,3.38,2
1.29,2.37,1.63,2.28,3.29,1.87
1.73,2.12,1.43,1.98,3.05,1.69
1.86,2.21,1.33,2,2.97,1.58
1.63,2.35,1.44,2.01,3.15,1.66
1.72,2.14,1.47,2,3.26,1.75
1.13,2.54,1.61,1.81,3.62,1.96
0.67,3.12,2.2,0.97,5.07,2.47
0.19,3.34,2.32,0.39,5.68,2.59
0.03,2.39,1.6,0.16,6.01,2.63
0.13,2.39,1.71,0.15,5.62,2.53
0.3,2.57,1.89,0.22,5.21,2.4
0.21,2.6,1.89,0.18,5.6,2.68
0.16,2.77,2,0.15,5.46,2.46
0.18,3.11,2.36,0.18,4.77,2.25
0.18,3.54,2.54,0.21,3.78,1.89
0.18,3.38,2.54,0.16,3.53,1.85
0.17,3.42,2.47,0.16,2.99,1.67
0.12,3.28,2.44,0.15,2.91,1.73
0.07,3.32,2.44,0.12,2.9,1.76
0.05,3.35,2.6,0.12,2.92,1.79
0.05,3.54,2.72,0.12,2.78,1.67
0.06,3.67,2.8,0.11,2.52,1.53
0.11,3.58,2.83,0.13,2.65,1.66
0.15,3.58,2.77,0.16,2.54,1.54
0.16,3.69,2.79,0.2,2.4,1.44
0.16,3.26,2.59,0.2,2.63,1.54
0.12,3.08,2.48,0.18,3.03,1.68
0.16,2.85,2.39,0.18,3,1.71
0.16,2.54,2.18,0.19,2.96,1.79
0.15,2.5,2.17,0.19,3.01,1.88
0.13,2.41,2.16,0.19,3.18,2.14
0.14,2.62,2.31,0.19,3.16,2.11
0.14,3.15,2.67,0.18,2.81,1.73
0.15,3.24,2.78,0.17,2.7,1.65
0.13,3.45,2.81,0.16,2.57,1.64
0.1,3.31,2.71,0.14,2.62,1.72
0.06,3.4,2.73,0.1,2.56,1.7
0.04,3.13,2.61,0.09,2.61,1.79
0.04,2.96,2.59,0.09,2.75,1.99
0.04,2.96,2.59,0.07,2.76,1.93
0.02,2.28,2.07,0.1,3.06,2.07
0.01,1.97,1.77,0.08,3.29,2.11
0.02,2.13,1.87,0.07,3.22,1.83
0.01,2,1.76,0.08,3.13,1.86
0.01,1.97,1.72,0.07,3.27,1.95
0.03,1.94,1.73,0.08,3.26,1.88
0.09,1.88,1.69,0.1,3.17,1.88
0.08,2.09,1.83,0.13,3.06,1.82
0.08,1.97,1.76,0.14,3.14,1.91
0.09,1.71,1.51,0.16,3.27,2
0.09,1.53,1.33,0.16,3.4,2.02
0.1,1.43,1.28,0.16,3.34,1.87
0.1,1.58,1.41,0.13,3.23,1.8
0.11,1.61,1.46,0.14,3.12,1.77
0.1,1.65,1.47,0.16,2.83,1.72
0.09,1.56,1.38,0.16,2.86,1.85
0.07,1.65,1.46,0.16,2.91,1.93
0.07,1.84,1.64,0.14,2.82,1.89
0.1,1.88,1.71,0.15,2.87,1.92
0.09,1.87,1.7,0.14,2.89,1.97
0.06,1.7,1.53,0.15,2.83,1.97
0.04,1.89,1.68,0.11,2.8,1.96
0.05,2.25,1.97,0.09,2.89,1.97
0.04,2.54,2.24,0.09,2.74,1.76
0.04,2.7,2.38,0.08,2.68,1.8
0.02,2.79,2.41,0.08,2.66,1.83
0.05,2.57,2.28,0.09,2.69,1.91
0.07,2.65,2.42,0.08,2.66,1.91
0.07,2.83,2.56,0.09,2.48,1.72
0.04,2.82,2.47,0.07,2.33,1.63
0.05,2.66,2.38,0.07,2.39,1.74
0.05,2.67,2.32,0.08,2.34,1.66
0.03,2.68,2.29,0.09,2.19,1.53
0.03,2.53,2.17,0.09,2.2,1.6
0.04,2.56,2.15,0.1,2.2,1.65
0.03,2.51,2.03,0.09,2.19,1.62
0.03,2.39,1.95,0.09,2.27,1.66
0.02,2.51,1.96,0.09,2.27,1.58
