T10Y3MM,T10Y2YM,TB3MS,FEDFUNDS,MPRIME,GS3M,T10YFFM,EXUSUK,GS10,GS2
1.57,0.6,5.15,5.4,8.25,5.3,1.47,1.553,6.87,6.27
1.45,0.61,5.05,5.22,8.25,5.19,1.42,1.5499,6.64,6.03
1.59,0.6,5.09,5.3,8.25,5.24,1.53,1.5593,6.83,6.23
1.41,0.62,4.99,5.24,8.25,5.12,1.29,1.5863,6.53,5.91
1.03,0.5,5.03,5.31,8.25,5.17,0.89,1.6623,6.2,5.7
1.26,0.52,4.91,5.29,8.25,5.04,1.01,1.6639,6.3,5.78
1.41,0.57,5.03,5.25,8.25,5.17,1.33,1.6585,6.58,6.01
1.28,0.52,5.01,5.19,8.25,5.14,1.23,1.6256,6.42,5.9
1.41,0.47,5.14,5.39,8.3,5.28,1.3,1.6096,6.69,6.22
1.59,0.44,5.16,5.51,8.5,5.3,1.38,1.6293,6.89,6.45
1.51,0.43,5.05,5.5,8.5,5.2,1.21,1.6322,6.71,6.28
1.42,0.4,4.93,5.56,8.5,5.07,0.93,1.6449,6.49,6.09
1.03,0.33,5.05,5.52,8.5,5.19,0.7,1.6694,6.22,5.89
1.02,0.36,5.14,5.54,8.5,5.28,0.76,1.6035,6.3,5.94
1.13,0.33,4.95,5.54,8.5,5.08,0.67,1.6013,6.21,5.88
0.92,0.26,4.97,5.5,8.5,5.11,0.53,1.633,6.03,5.77
0.6,0.17,5.14,5.52,8.5,5.28,0.36,1.6889,5.88,5.71
0.51,0.09,5.16,5.5,8.5,5.3,0.31,1.6597,5.81,5.72
0.36,0.18,5.04,5.56,8.5,5.18,-0.02,1.635,5.54,5.36
0.34,0.15,5.09,5.51,8.5,5.23,0.06,1.6408,5.57,5.42
0.49,0.09,5.03,5.49,8.5,5.16,0.16,1.6619,5.65,5.56
0.56,0.08,4.95,5.45,8.5,5.08,0.19,1.6723,5.64,5.56
0.51,0.06,5,5.49,8.5,5.14,0.16,1.6382,5.65,5.59
