DATE,T10Y3MM
01-06-16,1.37
01-07-16,1.2
01-08-16,1.26
01-09-16,1.34
01-10-16,1.43
01-11-16,1.69
01-12-16,1.98
01-01-17,1.91
01-02-17,1.89
01-03-17,1.73
01-04-17,1.49
01-05-17,1.4
01-06-17,1.19
01-07-17,1.23
01-08-17,1.18
01-09-17,1.15
01-10-17,1.27
